name,city,country,code
Luoyang Airport,Luoyang,China,LYA
Edward Bodden Airfield,Little Cayman,Cayman Islands,LYB
Lycksele Airport,Lycksele,Sweden,LYC
RAF Lyneham,Lyneham,United Kingdom,LYE
Lianyungang Airport,Lianyungang,China,LYG
Lynchburg Regional Preston Glenn Field,Lynchburg,United States,LYH
Shubuling Airport,Linyi,China,LYI
Lympne Airport,Lympne,United Kingdom,LYM
Lyon-Bron Airport,Lyon,France,LYN
Faisalabad International Airport,Faisalabad,Pakistan,LYP
"Svalbard Airport, Longyear",Svalbard,Norway,LYR
Lyon Saint-Exupéry Airport,Lyon,France,LYS
Ely Municipal Airport,Ely,United States,LYU
Lydd Airport,Lydd,United Kingdom,LYX
Lázaro Cárdenas Airport,Lazard Cardenas,Mexico,LZC
Liuzhou Bailian Airport,Liuzhou,China,LZH
Matsu Nangan Airport,Matsu Islands,Taiwan,LZN
Luzhou Airport,Luzhou,China,LZO
Lizard Island Airport,Lizard Island,Australia,LZR
Gwinnett County Briscoe Field,Lawrenceville,United States,LZU
Nyingchi Airport,Nyingchi,China,LZY
Chennai International Airport,Madras,India,MAA
João Correa da Rocha Airport,Maraba,Brazil,MAB
Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD
Madera Municipal Airport,Madera,United States,MAE
Midland International Airport,Midland,United States,MAF
Madang Airport,Madang,Papua New Guinea,MAG
Menorca Airport,Menorca,Spain,MAH
Mangochi Airport,Mangochi,Malawi,MAI
Marshall Islands International Airport,Majuro,Marshall Islands,MAJ
Malakal Airport,Malakal,Sudan,MAK
General Servando Canales International Airport,Matamoros,Mexico,MAM
Manchester Airport,Manchester,United Kingdom,MAN
Eduardo Gomes International Airport,Manaus,Brazil,MAO
Mae Sot Airport,Tak,Thailand,MAQ
La Chinita International Airport,Maracaibo,Venezuela,MAR
Momote Airport,Momote,Papua New Guinea,MAS
Tshimpi Airport,Matadi,Congo (Kinshasa),MAT
Maupiti Airport,Maupiti,French Polynesia,MAU
Ouro Sogui Airport,Matam,Senegal,MAX
Clarence A. Bain Airport,Clarence Bain,Bahamas,MAY
Eugenio Maria De Hostos Airport,Mayaguez,Puerto Rico,MAZ
Mombasa Moi International Airport,Mombasa,Kenya,MBA
Mmabatho International Airport,Mafeking,South Africa,MBD
Monbetsu Airport,Monbetsu,Japan,MBE
Mobridge Municipal Airport,Mobridge,United States,MBG
Maryborough Airport,Maryborough,Australia,MBH
Songwe Airport,Mbeya,Tanzania,MBI
Sangster International Airport,Montego Bay,Jamaica,MBJ
Manistee Co Blacker Airport,Manistee,United States,MBL
Mamburao Airport,Mamburao,Philippines,MBO
MBS International Airport,Saginaw,United States,MBS
Moises R. Espinosa Airport,Masbate,Philippines,MBT
Babanakira Airport,Mbambanakira,Solomon Islands,MBU
Melbourne Moorabbin Airport,Melbourne,Australia,MBW
Maribor Airport,Maribor,Slovenia,MBX
Maués Airport,Maues,Brazil,MBZ
Mc Comb/Pike County Airport/John E Lewis Field,Mc Comb,United States,MCB
Mc Clellan Airfield,Sacramento,United States,MCC
Merced Regional Macready Field,Merced,United States,MCE
Mac Dill Air Force Base,Tampa,United States,MCF
McGrath Airport,Mcgrath,United States,MCG
General Manuel Serrano Airport,Machala,Ecuador,MCH
Kansas City International Airport,Kansas City,United States,MCI
Jorge Isaac Airport,La Mina,Colombia,MCJ
Mc Cook Ben Nelson Regional Airport,McCook,United States,MCK
McKinley National Park Airport,McKinley Park,United States,MCL
Middle Georgia Regional Airport,Macon,United States,MCN
Orlando International Airport,Orlando,United States,MCO
Alberto Alcolumbre Airport,Macapa,Brazil,MCP
Monte Caseros Airport,Monte Caseros,Argentina,MCS
Muscat International Airport,Muscat,Oman,MCT
Montluçon-Guéret Airport,Montlucon-gueret,France,MCU
McArthur River Mine Airport,McArthur River Mine,Australia,MCV
Mason City Municipal Airport,Mason City,United States,MCW
Uytash Airport,Makhachkala,Russia,MCX
Sunshine Coast Airport,Maroochydore,Australia,MCY
Zumbi dos Palmares Airport,Maceio,Brazil,MCZ
Sam Ratulangi Airport,Manado,Indonesia,MDC
Jose Maria Córdova International Airport,Rio Negro,Colombia,MDE
Mudanjiang Hailang International Airport,Mudanjiang,China,MDG
Southern Illinois Airport,Carbondale/Murphysboro,United States,MDH
Makurdi Airport,Makurdi,Nigeria,MDI
Mbandaka Airport,Mbandaka,Congo (Kinshasa),MDK
Mandalay International Airport,Mandalay,Burma,MDL
Ástor Piazzola International Airport,Mar Del Plata,Argentina,MDQ
Middle Caicos Airport,Middle Caicos,Turks and Caicos Islands,MDS
Harrisburg International Airport,Harrisburg,United States,MDT
Mendi Airport,Mendi,Papua New Guinea,MDU
Chicago Midway International Airport,Chicago,United States,MDW
Henderson Field,Midway,Midway Islands,MDY
El Plumerillo Airport,Mendoza,Argentina,MDZ
Macaé Airport,Macaé,Brazil,MEA
Melbourne Essendon Airport,Melbourne,Australia,MEB
Eloy Alfaro International Airport,Manta,Ecuador,MEC
Prince Mohammad Bin Abdulaziz Airport,Madinah,Saudi Arabia,MED
Maré Airport,Mare,New Caledonia,MEE
Malanje Airport,Malanje,Angola,MEG
Mehamn Airport,Mehamn,Norway,MEH
Key Field,Meridian,United States,MEI
Bassatine Airport,Meknes,Morocco,MEK
Melbourne International Airport,Melbourne,Australia,MEL
Memphis International Airport,Memphis,United States,MEM
Mende-Brenoux Airfield,Mende,France,MEN
Dare County Regional Airport,Manteo,United States,MEO
Seunagan Airport,Nagan Raya,Indonesia,MEQ
Castle Airport,Merced,United States,MER
Soewondo Air Force Base,Medan,Indonesia,MES
Monte Dourado Airport,Almeirim,Brazil,MEU
Licenciado Benito Juarez International Airport,Mexico City,Mexico,MEX
Meghauli Airport,Meghauli,Nepal,MEY
Mafia Island Airport,Mafia Island,Tanzania,MFA
Mansfield Lahm Regional Airport,Mansfield,United States,MFD
Mc Allen Miller International Airport,Mcallen,United States,MFE
Muzaffarabad Airport,Muzaffarabad,Pakistan,MFG
Marshfield Municipal Airport,Marshfield,United States,MFI
Moala Airport,Moala,Fiji,MFJ
Matsu Beigan Airport,Matsu Islands,Taiwan,MFK
Macau International Airport,Macau,Macau,MFM
Milford Sound Airport,Milford Sound,New Zealand,MFN
Maradi Airport,Maradi,Niger,MFQ
Rogue Valley International Medford Airport,Medford,United States,MFR
Mfuwe Airport,Mfuwe,Zambia,MFU
Méribel Altiport,Ajaccio,France,MFX
Augusto C. Sandino (Managua) International Airport,Managua,Nicaragua,MGA
Mount Gambier Airport,Mount Gambier,Australia,MGB
Michigan City Municipal Airport,Michigan City,United States,MGC
Dobbins Air Reserve Base,Marietta,United States,MGE
Regional de Maringá - Sílvio Nane Junior Airport,Maringa,Brazil,MGF
Margate Airport,Margate,South Africa,MGH
Orange County Airport,Montgomery,United States,MGJ
Mönchengladbach Airport,Moenchengladbach,Germany,MGL
Montgomery Regional (Dannelly Field) Airport,MONTGOMERY,United States,MGM
Baracoa Airport,Magangue,Colombia,MGN
Aden Adde International Airport,Mogadishu,Somalia,MGQ
Mangaia Island Airport,Mangaia Island,Cook Islands,MGS
Milingimbi Airport,Milingimbi,Australia,MGT
Morgantown Municipal Walter L. Bill Hart Field,Morgantown,United States,MGW
Dayton-Wright Brothers Airport,Dayton,United States,MGY
Myeik Airport,Myeik,Burma,MGZ
Mahdia Airport,Mahdia,Guyana,MHA
Mocopulli Airport,Castro,Chile,MHC
Mashhad International Airport,Mashhad,Iran,MHD
Mitchell Municipal Airport,Mitchell,United States,MHE
Mannheim-City Airport,Mannheim,Germany,MHG
Leonard M Thompson International Airport,Marsh Harbor,Bahamas,MHH
Manhattan Regional Airport,Manhattan,United States,MHK
Minsk 1 Airport,Minsk,Belarus,MHP
Mariehamn Airport,Mariehamn,Finland,MHQ
Sacramento Mather Airport,Sacramento,United States,MHR
Manchester-Boston Regional Airport,Manchester NH,United States,MHT
Mount Hotham Airport,Mount Hotham,Australia,MHU
Mojave Airport,Mojave,United States,MHV
Manihiki Island Airport,Manihiki Island,Cook Islands,MHX
RAF Mildenhall,Mildenhall,United Kingdom,MHZ
Miami International Airport,Miami,United States,MIA
Minot Air Force Base,Minot,United States,MIB
Licenciado Manuel Crescencio Rejon Int Airport,Merida,Mexico,MID
Delaware County Johnson Field,Muncie,United States,MIE
Mianyang Airport,Mianyang,China,MIG
Frank Miloye Milenkowichi–Marília State Airport,Marília,Brazil,MII
Mili Island Airport,Mili Island,Marshall Islands,MIJ
Mikkeli Airport,Mikkeli,Finland,MIK
Merimbula Airport,Merimbula,Australia,MIM
Ramon Air Base,Ramon,Israel,MIP
Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR
Misima Island Airport,Misima Island,Papua New Guinea,MIS
Maiduguri International Airport,Maiduguri,Nigeria,MIU
Millville Municipal Airport,Millville,United States,MIV
Manja Airport,Manja,Madagascar,MJA
Man Airport,Man,Cote d'Ivoire,MJC
Moenjodaro Airport,Moenjodaro,Pakistan,MJD
Mosjøen Airport (Kjærstad),Mosjoen,Norway,MJF
Mitiga Airport,Tripoli,Libya,MJI
Shark Bay Airport,Shark Bay,Australia,MJK
Mouilla Ville Airport,Mouila,Gabon,MJL
Mbuji Mayi Airport,Mbuji-mayi,Congo (Kinshasa),MJM
Amborovy Airport,Mahajanga,Madagascar,MJN
Mytilene International Airport,Mytilini,Greece,MJT
San Javier Airport,Murcia,Spain,MJV
Mirny Airport,Mirnyj,Russia,MJZ
Charles B. Wheeler Downtown Airport,Kansas City,United States,MKC
General Mitchell International Airport,Milwaukee,United States,MKE
Muskegon County Airport,Muskegon,United States,MKG
Molokai Airport,Molokai,United States,MKK
McKellar-Sipes Regional Airport,Jackson,United States,MKL
Mukah Airport,Mukah,Malaysia,MKM
Makemo Airport,Makemo,French Polynesia,MKP
Mopah Airport,Merauke,Indonesia,MKQ
Meekatharra Airport,Meekatharra,Australia,MKR
Mekane Selam Airport,Mekane Selam,Ethiopia,MKS
Makokou Airport,Makokou,Gabon,MKU
Rendani Airport,Manokwari,Indonesia,MKW
Mackay Airport,Mackay,Australia,MKY
Malacca Airport,Malacca,Malaysia,MKZ
Malta International Airport,Malta,Malta,MLA
Melbourne International Airport,Melbourne,United States,MLB
Mc Alester Regional Airport,Mcalester,United States,MLC
Malé International Airport,Male,Maldives,MLE
Abdul Rachman Saleh Airport,Malang,Indonesia,MLG
Quad City International Airport,Moline,United States,MLI
Marshall Don Hunter Sr Airport,Marshall,United States,MLL
General Francisco J. Mujica International Airport,Morelia,Mexico,MLM
Melilla Airport,Melilla,Spain,MLN
Milos Airport,Milos,Greece,MLO
Frank Wiley Field,Miles City,United States,MLS
Monroe Regional Airport,Monroe,United States,MLU
Spriggs Payne Airport,Monrovia,Liberia,MLW
Malatya Erhaç Airport,Malatya,Turkey,MLX
Manley Hot Springs Airport,Manley Hot Springs,United States,MLY
Cerro Largo International Airport,Melo,Uruguay,MLZ
Memanbetsu Airport,Memanbetsu,Japan,MMB
Minami-Daito Airport,Minami Daito,Japan,MMD
Durham Tees Valley Airport,Teesside,United Kingdom,MME
Mount Magnet Airport,Mount Magnet,Australia,MMG
Mammoth Yosemite Airport,Mammoth Lakes,United States,MMH
McMinn County Airport,Athens,United States,MMI
Matsumoto Airport,Matsumoto,Japan,MMJ
Murmansk Airport,Murmansk,Russia,MMK
Maio Airport,Maio,Cape Verde,MMO
Mc Entire Joint National Guard Base,Eastover,United States,MMT
Morristown Municipal Airport,Morristown,United States,MMU
Malmö Sturup Airport,Malmoe,Sweden,MMX
Miyako Airport,Miyako,Japan,MMY
Maimana Airport,Maimama,Afghanistan,MMZ
Melangguane Airport,Melonguane,Indonesia,MNA
Muanda Airport,Muanda,Congo (Kinshasa),MNB
Nacala Airport,Nacala,Mozambique,MNC
Mana Island Airport,Mana Island,Fiji,MNF
Maningrida Airport,Maningrida,Australia,MNG
Rustaq Airport,Al Masna'ah,Oman,MNH
John A. Osborne Airport,Geralds,Montserrat,MNI
Mananjary Airport,Mananjary,Madagascar,MNJ
Maiana Airport,Maiana,Kiribati,MNK
Ninoy Aquino International Airport,Manila,Philippines,MNL
Menominee Regional Airport,Macon,United States,MNM
Mongu Airport,Mongu,Zambia,MNR
Mansa Airport,Mansa,Zambia,MNS
Mawlamyine Airport,Mawlamyine,Burma,MNU
Manicoré Airport,Manicore,Brazil,MNX
Mono Airport,Stirling Island,Solomon Islands,MNY
Manassas Regional Airport/Harry P. Davis Field,Manassas,United States,MNZ
Orestes Acosta Airport,Moa,Cuba,MOA
Mobile Regional Airport,Mobile,United States,MOB
Mário Ribeiro Airport,Montes Claros,Brazil,MOC
Modesto City Co-Harry Sham Field,Modesto,United States,MOD
Momeik Airport,Momeik,Burma,MOE
Maumere(Wai Oti) Airport,Maumere,Indonesia,MOF
Mong Hsat Airport,Mong Hsat,Burma,MOG
Mitiaro Island Airport,Mitiaro Island,Cook Islands,MOI
Moengo Airstrip,Moengo,Suriname,MOJ
Molde Airport,Molde,Norway,MOL
Mount Cook Airport,Mount Cook,New Zealand,MON
Moomba Airport,Moomba,Australia,MOO
Morondava Airport,Morondava,Madagascar,MOQ
Minot International Airport,Minot,United States,MOT
Mountain Village Airport,Mountain Village,United States,MOU
Moranbah Airport,Moranbah,Australia,MOV
Moorea Airport,Moorea,French Polynesia,MOZ
Katima Mulilo Airport,Mpacha,Namibia,MPA
Godofredo P. Ramos Airport,Caticlan,Philippines,MPH
Mokpo Heliport,Mokpo,South Korea,MPK
Montpellier-Méditerranée Airport,Montpellier,France,MPL
Maputo Airport,Maputo,Mozambique,MPM
Mount Pleasant Airport,Mount Pleasant,Falkland Islands,MPN
Pocono Mountains Municipal Airport,Mount Pocono,United States,MPO
Edward F Knapp State Airport,Montpelier,United States,MPV
Mariupol International Airport,Mariupol International,Ukraine,MPW
Maripasoula Airport,Maripasoula,French Guiana,MPY
Miquelon Airport,Miquelon,Saint Pierre and Miquelon,MQC
Magnitogorsk International Airport,Magnetiogorsk,Russia,MQF
Minaçu Airport,Minacu,Brazil,MQH
Moma Airport,Honuu,Russia,MQJ
Mildura Airport,Mildura,Australia,MQL
Mardin Airport,Mardin,Turkey,MQM
"Mo i Rana Airport, Røssvoll",Mo i Rana,Norway,MQN
Kruger Mpumalanga International Airport,Mpumalanga,South Africa,MQP
Moundou Airport,Moundou,Chad,MQQ
Mustique Airport,Mustique,Saint Vincent and the Grenadines,MQS
Sawyer International Airport,Gwinn,United States,MQT
Mariquita Airport,Mariquita,Colombia,MQU
Mekele Airport,Makale,Ethiopia,MQX
Smyrna Airport,Smyrna,United States,MQY
Eastern WV Regional Airport/Shepherd Field,Martinsburg,United States,MRB
Alberto Carnevalli Airport,Merida,Venezuela,MRD
Mara Serena Lodge Airstrip,Masai Mara,Kenya,MRE
Marfa Municipal Airport,Marfa,United States,MRF
Mareeba Airport,,Australia,MRG
Merrill Field,Anchorage,United States,MRI
Marco Island Executive Airport,Marco Island Airport,United States,MRK
Foothills Regional Airport,Morganton,United States,MRN
Hood Airport,Masterton,New Zealand,MRO
Marinduque Airport,Gasan,Philippines,MRQ
Jose Maria Velasco Ibarra Airport,Macara,Ecuador,MRR
Marseille Provence Airport,Marseille,France,MRS
Sir Seewoosagur Ramgoolam International Airport,Plaisance,Mauritius,MRU
Mineralnyye Vody Airport,Mineralnye Vody,Russia,MRV
Lolland Falster Maribo Airport,Maribo,Denmark,MRW
Mahshahr Airport,Bandar Mahshahr,Iran,MRX
Monterey Peninsula Airport,Monterey,United States,MRY
Moree Airport,Moree,Australia,MRZ
Muskrat Dam Airport,Muskrat Dam,Canada,MSA
Falcon Field,Mesa,United States,MSC
Kent International Airport,Manston,United Kingdom,MSE
Masirah Air Base,Masirah,Oman,MSH
Misawa Air Base,Misawa,Japan,MSJ
Northwest Alabama Regional Airport,Muscle Shoals,United States,MSL
Dane County Regional Truax Field,Madison,United States,MSN
Missoula International Airport,Missoula,United States,MSO
Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,MSP
Minsk National Airport,Minsk 2,Belarus,MSQ
Muş Airport,Mus,Turkey,MSR
Massena International Richards Field,Massena,United States,MSS
Maastricht Aachen Airport,Maastricht,Netherlands,MST
Moshoeshoe I International Airport,Maseru,Lesotho,MSU
Massawa International Airport,Massawa,Eritrea,MSW
Louis Armstrong New Orleans International Airport,New Orleans,United States,MSY
Namibe Airport,Mocamedes,Angola,MSZ
Selfridge Air National Guard Base Airport,Mount Clemens,United States,MTC
Mizan Teferi Airport,Mizan Teferi,Ethiopia,MTF
Vila Bela da Santíssima Trindade Airport,Vila Bela da Santissima Trindade ,Brazil,MTG
The Florida Keys Marathon Airport,Marathon,United States,MTH
Montrose Regional Airport,Montrose CO,United States,MTJ
Makin Island Airport,Makin,Kiribati,MTK
Maitland Airport,Maitland,Australia,MTL
Metlakatla Seaplane Base,Metakatla,United States,MTM
Martin State Airport,Baltimore,United States,MTN
Montauk Airport,Montauk,United States,MTP
Los Garzones Airport,Monteria,Colombia,MTR
Matsapha Airport,Manzini,Swaziland,MTS
Minatitlán/Coatzacoalcos National Airport,Minatitlan,Mexico,MTT
Mota Lava Airport,Ablow,Vanuatu,MTV
General Mariano Escobedo International Airport,Monterrey,Mexico,MTY
Bar Yehuda Airfield,Metzada,Israel,MTZ
Munda Airport,Munda,Solomon Islands,MUA
Maun Airport,Maun,Botswana,MUB
Munich Airport,Munich,Germany,MUC
Mueda Airport,Mueda,Mozambique,MUD
Waimea Kohala Airport,Kamuela,United States,MUE
Mersa Matruh Airport,Mersa-matruh,Egypt,MUH
Muir Army Air Field (Fort Indiantown Gap) Airport,Muir,United States,MUI
Mauke Airport,Mauke Island,Cook Islands,MUK
Maturín Airport,Maturin,Venezuela,MUN
Mountain Home Air Force Base,Mountain Home,United States,MUO
Marudi Airport,Marudi,Malaysia,MUR
Minami Torishima Airport,Minami Tori Shima,Japan,MUS
Ghriss Airport,Ghriss,Algeria,MUW
Multan International Airport,Multan,Pakistan,MUX
Musoma Airport,Musoma,Tanzania,MUZ
Reykjahlíð Airport,Myvatn,Iceland,MVA
M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,Gabon,MVB
Carrasco International /General C L Berisso Airport,Montevideo,Uruguay,MVD
Dix-Sept Rosado Airport,Mocord,Brazil,MVF
Morrisville Stowe State Airport,Morrisville,United States,MVL
Fabio Alberto Leon Bentley Airport,Mitu,Colombia,MVP
Mogilev Airport,Mogilev,Belarus,MVQ
Salak Airport,Maroua,Cameroon,MVR
Mucuri Airport,Mucuri,Brazil,MVS
Mataiva Airport,Mataiva,French Polynesia,MVT
Megève Airport,Verdun,France,MVV
Skagit Regional Airport,Skagit,United States,MVW
Martha's Vineyard Airport,Vineyard Haven MA,United States,MVY
Masvingo International Airport,Masvingo,Zimbabwe,MVZ
Williamson County Regional Airport,Marion,United States,MWA
Lawrence J Timmerman Airport,Milwaukee,United States,MWC
Mianwali Air Base,Mianwali,Pakistan,MWD
Merowe New Airport,Merowe,Sudan,MWE
Maewo-Naone Airport,Maewo Island,Vanuatu,MWF
Grant County International Airport,Grant County Airport,United States,MWH
Tarempa Airport,Anambas Islands,Indonesia,MWK
Mineral Wells Airport,Mineral Wells,United States,MWL
Magway Airport,Magwe,Burma,MWQ
Muan International Airport,Muan,South Korea,MWX
Mwanza Airport,Mwanza,Tanzania,MWZ
Andi Jemma Airport,Masamba,Indonesia,MXB
Maxwell Air Force Base,Montgomery,United States,MXF
Moro Airport,Moro,Papua New Guinea,MXH
Mati National Airport,,Philippines,MXI
Minna Airport,Minna,Nigeria,MXJ
General Rodolfo Sánchez Taboada International Airport,Mexicali,Mexico,MXL
Morombe Airport,Morombe,Madagascar,MXM
Morlaix-Ploujean Airport,Morlaix,France,MXN
Malpensa International Airport,Milano,Italy,MXP
Maota Airport,Savaii Island,Samoa,MXS
Maintirano Airport,Maintirano,Madagascar,MXT
Mörön Airport,Muren,Mongolia,MXV
Mora Airport,Mora,Sweden,MXX
Meixian Airport,Meixian,China,MXZ
Moruya Airport,Moruya,Australia,MYA
Mayumba Airport,Mayumba,Gabon,MYB
Escuela Mariscal Sucre Airport,Maracay,Venezuela,MYC
Malindi Airport,Malindi,Kenya,MYD
Miyakejima Airport,Miyakejima,Japan,MYE
Mayaguana Airport,Mayaguana,Bahamas,MYG
Murray Island Airport,Murray Island,Australia,MYI
Matsuyama Airport,Matsuyama,Japan,MYJ
McCall Municipal Airport,McCall,United States,MYL
Mary Airport,Mary,Turkmenistan,MYP
Mysore Airport,Mysore,India,MYQ
Myrtle Beach International Airport,Myrtle Beach,United States,MYR
Myitkyina Airport,Myitkyina,Burma,MYT
Mekoryuk Airport,Mekoryuk,United States,MYU
Yuba County Airport,Yuba City,United States,MYV
Mtwara Airport,Mtwara,Tanzania,MYW
Miri Airport,Miri,Malaysia,MYY
Monkey Bay Airport,Monkey Bay,Malawi,MYZ
Mocímboa da Praia Airport,Mocimboa Da Praia,Mozambique,MZB
Makung Airport,Makung,Taiwan,MZG
Amasya Merzifon Airport,Merzifon,Turkey,MZH
Mopti Airport,Mopti,Mali,MZI
Pinal Airpark,Marana,United States,MZJ
Marakei Airport,Marakei,Kiribati,MZK
La Nubia Airport,Manizales,Colombia,MZL
Metz-Frescaty (BA 128) Air Base,Metz,France,MZM
Sierra Maestra Airport,Manzanillo,Cuba,MZO
Motueka Airport,Motueka,New Zealand,MZP
Mkuze Airport,Mkuze,South Africa,MZQ
Mazar I Sharif Airport,Mazar-i-sharif,Afghanistan,MZR
General Rafael Buelna International Airport,Mazatlan,Mexico,MZT
Muzaffarpur Airport,Mazuffarpur,India,MZU
Mulu Airport,Mulu,Malaysia,MZV
Mecheria Airport,Mecheria,Algeria,MZW
Narrabri Airport,Narrabri,Australia,NAA
Naracoorte Airport,Naracoorte,Australia,NAC
Dr. Babasaheb Ambedkar International Airport,Nagpur,India,NAG
Naha Airport,Naha,Indonesia,NAH
Annai Airport,Annai,Guyana,NAI
Nakhchivan Airport,Nakhchivan,Azerbaijan,NAJ
Nakhon Ratchasima Airport,Nakhon Ratchasima,Thailand,NAK
Nalchik Airport,Nalchik,Russia,NAL
Namlea Airport,Namlea,Indonesia,NAM
Nadi International Airport,Nandi,Fiji,NAN
Nanchong Airport,Nanchong,China,NAO
Naples International Airport,Naples,Italy,NAP
Qaanaaq Airport,Qaanaaq,Greenland,NAQ
Lynden Pindling International Airport,Nassau,Bahamas,NAS
Governador Aluízio Alves International Airport,Natal,Brazil,NAT
Napuka Island Airport,Napuka,French Polynesia,NAU
Nevşehir Kapadokya Airport,Nevsehir,Turkey,NAV
Narathiwat Airport,Narathiwat,Thailand,NAW
Beijing Nanyuan Airport,Beijing,China,NAY
Begishevo Airport,Nizhnekamsk,Russia,NBC
Enfidha - Hammamet International Airport,Enfidha,Tunisia,NBE
New Orleans NAS JRB/Alvin Callender Field,New Orleans,United States,NBG
Annobón Airport,San Antonio de Pale,Equatorial Guinea,NBN
Jomo Kenyatta International Airport,Nairobi,Kenya,NBO
Changbaishan Airport,Baishan,China,NBS
Leeward Point Field,Guantanamo,Cuba,NBW
Nabire Airport,Nabire,Indonesia,NBX
North Caicos Airport,North Caicos,Turks and Caicos Islands,NCA
Nice-Côte d'Azur Airport,Nice,France,NCE
Nuevo Casas Grandes Airport,Nuevo Casas Grandes,Mexico,NCG
Sunchales Aeroclub Airport,Sunchales,Argentina,NCJ
Newcastle Airport,Newcastle,United Kingdom,NCL
Chenega Bay Airport,Chenega,United States,NCN
Quonset State Airport,North Kingstown,United States,NCO
San Carlos,San Carlos,Nicaragua,NCR
Newcastle Airport,Newcastle,South Africa,NCS
Nukus Airport,Nukus,Uzbekistan,NCU
Annecy-Haute-Savoie-Mont Blanc Airport,Annecy,France,NCY
Nouadhibou International Airport,Nouadhibou,Mauritania,NDB
Nanded Airport,Nanded,India,NDC
Sumbe Airport,Sumbe,Angola,NDD
Qiqihar Sanjiazi Airport,Qiqihar,China,NDG
N'Djamena International Airport,N'djamena,Chad,NDJ
Nadunumu Airport,Nadunumu,Papua New Guinea,NDN
Nador International Airport,El Aroui,Morocco,NDR
Rundu Airport,Rundu,Namibia,NDU
Sanday Airport,Sanday,United Kingdom,NDY
Necochea Airport,Necochea,Argentina,NEC
Negril Airport,Negril,Jamaica,NEG
Lakehurst Maxfield Field Airport,Lakehurst,United States,NEL
Chulman Airport,Neryungri,Russia,NER
Sam Neua Airport,Sam Neua,Laos,NEU
Vance W. Amory International Airport,Charlestown,Saint Kitts and Nevis,NEV
Lakefront Airport,New Orleans,United States,NEW
Nefteyugansk Airport,Nefteyugansk,Russia,NFG
Fallon Naval Air Station,Fallon,United States,NFL
Mata'aho Airport,"Angaha, Niuafo'ou Island",Tonga,NFO
Young Airport,,Australia,NGA
Ningbo Lishe International Airport,Ninbo,China,NGB
Captain Auguste George Airport,Anegada,British Virgin Islands,NGD
N'Gaoundéré Airport,N'gaoundere,Cameroon,NGE
Kaneohe Bay MCAS (Marion E. Carl Field) Airport,Kaneohe Bay,United States,NGF
Ngau Airport,Ngau,Fiji,NGI
Nogliki Airport,Nogliki,Russia,NGK
Chubu Centrair International Airport,Nagoya,Japan,NGO
Ngari Gunsa Airport,Shiquanhe,China,NGQ
Nagasaki Airport,Nagasaki,Japan,NGS
Norfolk Naval Station (Chambers Field),Norfolk,United States,NGU
Manang Airport,Manang,Nepal,NGX
Alameda Naval Air Station,Alameda,United States,NGZ
Nha Trang Air Base,Nhatrang,Vietnam,NHA
Al Minhad Air Base,Minhad AB,United Arab Emirates,NHD
Patuxent River Naval Air Station (Trapnell Field),Patuxent River,United States,NHK
RAF Northolt,Northolt,United Kingdom,NHT
Nuku Hiva Airport,Nuku Hiva,French Polynesia,NHV
Brunswick Executive Airport,Brunswick,United States,NHZ
Nikolai Airport,Nikolai,United States,NIB
Nikunau Airport,Nikunau,Kiribati,NIG
Diori Hamani International Airport,Niamey,Niger,NIM
Nioki Airport,Nioki,Congo (Kinshasa),NIO
Jacksonville Naval Air Station (Towers Field),Jacksonville,United States,NIP
Simberi Airport,Simberi Island,Papua New Guinea,NIS
Niort-Souché Airport,Niort,France,NIT
Naiu Airport,Niau,French Polynesia,NIU
Atsugi Naval Air Facility,Atsugi,Japan,NJA
Nizhnevartovsk Airport,Nizhnevartovsk,Russia,NJC
Al Najaf International Airport,Najaf,Iraq,NJF
El Centro NAF Airport (Vraciu Field),El Centro,United States,NJK
Noonkanbah Airport,Noonkanbah,Australia,NKB
Nouakchott–Oumtounsy International Airport,Nouakschott,Mauritania,NKC
Nanjing Lukou Airport,Nanjing,China,NKG
Nagoya Airport,Nagoya,Japan,NKM
Şırnak Şerafettin Elçi Airport,Cizre,Turkey,NKT
Diego Garcia Naval Support Facility,Diego Garcia Island,British Indian Ocean Territory,NKW
Miramar Marine Corps Air Station - Mitscher Field,Miramar,United States,NKX
Simon Mwansa Kapwepwe International Airport,Ndola,Zambia,NLA
Lemoore Naval Air Station (Reeves Field) Airport,Lemoore,United States,NLC
Quetzalcóatl International Airport,Nuevo Laredo,Mexico,NLD
Darnley Island Airport,Darnley Island,Australia,NLF
Nelson Lagoon Airport,Nelson Lagoon,United States,NLG
Ninglang Luguhu Airport,Ninglang,China,NLH
Nikolayevsk-na-Amure Airport,Nikolayevsk-na-Amure Airport,Russia,NLI
Norfolk Island International Airport,Norfolk Island,Norfolk Island,NLK
Ndolo Airport,Kinshasa,Congo (Kinshasa),NLO
Nelspruit Airport,Nelspruit,South Africa,NLP
Xinyuan Nalati Airport,Xinyuan,China,NLT
Mykolaiv International Airport,Nikolayev,Ukraine,NLV
Namangan Airport,Namangan,Uzbekistan,NMA
Daman Airport,Daman,India,NMB
Normans Cay Airport,Norman's Cay,Bahamas,NMC
Nightmute Airport,Nightmute,United States,NME
